trade_date,daily_pnl,avg_pnl,trade_count,volume,win_rate,sentiment,sentiment_class,cumulative_pnl,sentiment_7d_ma,pnl_7d_ma,sentiment_lag1,sentiment_lag2,sentiment_lag3
2023-05-01,0.0,0.0,3,477.0,0.0,63.0,Greed,0.0,,,,,
2023-12-05,0.0,0.0,9,50005.83,0.0,75.0,Extreme Greed,0.0,,,63.0,,
2023-12-14,-205.4347,-18.6759,11,113203.35,0.3636,72.0,Greed,-205.4347,,,75.0,63.0,
2023-12-15,-24.632,-12.316,2,10609.95,0.0,70.0,Greed,-230.0667,,,72.0,75.0,63.0
2023-12-16,0.0,0.0,3,15348.77,0.0,67.0,Greed,-230.0667,,,70.0,72.0,75.0
2023-12-17,304.9828,21.7845,14,116278.02,0.5,73.0,Greed,74.9161,,,67.0,70.0,72.0
2023-12-18,0.0,0.0,2,31164.18,0.0,65.0,Greed,74.9161,69.28571428571429,10.7023,73.0,67.0,70.0
2023-12-19,1000.5386,66.7026,15,91602.41,0.6667,73.0,Greed,1075.4547,70.71428571428571,153.63638571428572,65.0,73.0,67.0
2023-12-20,162.7323,9.0407,18,141636.79,0.4444,74.0,Greed,1238.187,70.57142857142857,176.88385714285712,73.0,65.0,73.0
2023-12-21,537.2114,10.9635,49,125233.97,0.5306,70.0,Greed,1775.3984,70.28571428571429,282.9761571428572,74.0,73.0,65.0
2023-12-22,141.8327,14.1833,10,88874.28,0.2,74.0,Greed,1917.2311,70.85714285714286,306.7568285714286,70.0,74.0,73.0
2023-12-23,146.9367,11.3028,13,78438.25,0.6154,70.0,Greed,2064.1678,71.28571428571429,327.7477857142857,74.0,70.0,74.0
2023-12-24,1008.62,25.8621,39,402954.94,0.3846,71.0,Greed,3072.7878,71.0,428.2673857142857,70.0,74.0,70.0
2023-12-25,-245.0813,-81.6938,3,59948.51,0.0,73.0,Greed,2827.7065000000002,72.14285714285714,393.2557714285714,71.0,70.0,74.0
2023-12-27,-704.8892,-25.1746,28,171411.06,0.1429,73.0,Greed,2122.8173,72.14285714285714,149.6232285714286,73.0,71.0,70.0
2023-12-28,-970.7309,-42.2057,23,100117.25,0.0,73.0,Greed,1152.0864000000001,72.0,-12.300085714285697,73.0,73.0,71.0
2023-12-29,508.9221,10.1784,50,569559.72,0.3,65.0,Greed,1661.0085000000001,71.28571428571429,-16.341414285714272,73.0,73.0,73.0
2023-12-30,354.9986,6.8269,52,702550.21,0.4423,68.0,Greed,2016.0071000000003,70.42857142857143,14.11085714285716,65.0,73.0,73.0
2024-01-01,-129.5315,-7.1962,18,264239.53,0.0556,65.0,Greed,1886.4756000000002,69.71428571428571,-25.38459999999998,68.0,65.0,73.0
2024-01-02,783.9791,46.1164,17,121348.74,0.4706,71.0,Greed,2670.4547000000002,69.71428571428571,-57.47615714285712,65.0,68.0,65.0
2024-01-03,866.0155,12.9256,67,394499.36,0.4179,70.0,Greed,3536.4702,69.28571428571429,101.25195714285717,71.0,65.0,68.0
2024-01-04,-67.6036,-13.5207,5,99792.54,0.0,68.0,Greed,3468.8666000000003,68.57142857142857,192.29275714285717,70.0,71.0,65.0
2024-01-05,164.1416,2.487,66,1703942.66,0.197,72.0,Greed,3633.0082,68.42857142857143,354.4174,68.0,70.0,71.0
2024-01-06,135.5817,6.1628,22,298521.4,0.4545,70.0,Greed,3768.5899000000004,69.14285714285714,301.08305714285723,72.0,68.0,70.0
2024-01-07,-835.6812,-8.6153,97,1048850.06,0.0928,71.0,Greed,2932.9087000000004,69.57142857142857,130.98594285714287,70.0,72.0,68.0
2024-01-08,-269.8744,-2.1084,128,1522452.43,0.25,71.0,Greed,2663.0343000000003,70.42857142857143,110.93695714285718,71.0,70.0,72.0
2024-01-09,-826.3499,-11.805,70,870051.97,0.2571,76.0,Extreme Greed,1836.6844,71.14285714285714,-119.11004285714284,71.0,71.0,70.0
2024-01-10,-1517.0913,-7.8606,193,2057479.48,0.2124,73.0,Greed,319.59310000000005,71.57142857142857,-459.55387142857137,76.0,71.0,71.0
2024-01-11,-164.0895,-7.8138,21,305314.1,0.2381,76.0,Extreme Greed,155.50360000000006,72.71428571428571,-473.3375714285714,73.0,76.0,71.0
2024-01-12,-1925.519,-275.0741,7,200082.27,0.0,71.0,Greed,-1770.0154,72.57142857142857,-771.8605142857143,76.0,73.0,76.0
2024-01-15,152.8536,10.9181,14,50636.1,0.6429,52.0,Neutral,-1617.1618,70.0,-769.3931,71.0,76.0,73.0
2024-01-16,-2299.1715,-255.4635,9,116427.33,0.3333,64.0,Greed,-3916.3333000000002,69.0,-978.4631428571429,52.0,71.0,76.0
2024-01-17,813.2741,15.3448,53,800831.03,0.2075,60.0,Greed,-3103.0592,67.42857142857143,-823.7276428571429,64.0,52.0,71.0
2024-01-18,68.9332,1.4985,46,424631.53,0.0652,63.0,Greed,-3034.126,65.57142857142857,-695.8300571428572,60.0,64.0,52.0
