Account,total_pnl,avg_pnl,pnl_std,trade_count,total_volume,avg_trade_size,win_rate,unique_coins,first_trade,last_trade,trading_days,trades_per_day,sharpe_ratio,performance_tier
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,419.13,4692.45,3818,61697263.97,16159.58,0.36,2,2024-11-11,2025-04-12,153,24.954248366013072,0.0893200779976345,Heavy Profit
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.32,6.58,134.07,7280,12035487.66,1653.23,0.44,12,2024-11-30,2025-05-01,153,47.58169934640523,0.04907883941224734,Heavy Profit
0x271b280974205ca63b716753467d5a371de622ab,-70436.19,-18.49,542.18,3809,33873440.42,8893.0,0.3,8,2024-07-15,2025-04-25,285,13.364912280701754,-0.03410306540263381,Heavy Loss
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.81,9.95,113.27,13311,6757022.1,507.63,0.44,94,2024-11-16,2025-05-01,167,79.7065868263473,0.08784320649774874,Heavy Profit
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.0,52.07,255.83,3239,10166880.2,3138.89,0.52,49,2024-10-31,2025-04-25,177,18.29943502824859,0.20353359652894498,Heavy Profit
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.6,-38.29,558.78,815,1409902.0,1729.94,0.46,47,2023-05-01,2025-04-25,726,1.1225895316804408,-0.06852428504957228,Heavy Loss
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.92,4.03,730.5,3589,17193375.42,4790.58,0.33,13,2024-11-12,2025-04-14,154,23.305194805194805,0.005516769336071184,Heavy Profit
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.25,161.13,1279.86,332,1143896.46,3445.47,0.48,11,2024-10-03,2025-04-13,193,1.7202072538860103,0.12589658243870425,Heavy Profit
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59,520.9,2228.34,383,1987527.61,5189.37,0.23,10,2024-12-06,2025-04-10,126,3.0396825396825395,0.23376145471516913,Heavy Profit
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.87,336.74,1649.5,1237,2966109.22,2397.82,0.48,20,2024-04-20,2025-04-29,375,3.2986666666666666,0.2041467111245832,Heavy Profit
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.72,12.13,88.29,8519,4408828.9,517.53,0.35,68,2024-11-30,2025-05-01,153,55.6797385620915,0.13738815267867255,Heavy Profit
